date;temp_max_anos;temp_min_anos;temp_media_anos;precipitacao_anos
23/04/2020;28.25;26.25;27.083.333.333.333.300;6.6
24/04/2020;28.5;27.5;28.0;0.8
25/04/2020;26.5;25.25;25.875;5.2
26/04/2020;29.75;26.0;27.733.333.333.333.300;0.0
27/04/2020;28.0;26.25;26.875;0.2
28/04/2020;30.0;24.75;27.308.333.333.333.300;0.6
29/04/2020;28.75;23.75;25.979.166.666.666.600;0.0
30/04/2020;26.5;26.0;26.25;0.0
01/05/2020;27.333.333.333.333.300;26.0;26.688.888.888.888.800;0.0
02/05/2020;29.333.333.333.333.300;25.666.666.666.666.600;2.738.888.888.888.880;1.0
03/05/2020;28.333.333.333.333.300;26.333.333.333.333.300;27.166.666.666.666.600;0.0
04/05/2020;29.333.333.333.333.300;26.666.666.666.666.600;2.788.888.888.888.880;0.0
05/05/2020;27.0;26.333.333.333.333.300;26.555.555.555.555.500;2.0
06/05/2020;28.666.666.666.666.600;26.0;27.194.444.444.444.400;1.6
07/05/2020;28.333.333.333.333.300;25.0;26.583.333.333.333.300;4.2
08/05/2020;25.333.333.333.333.300;25.333.333.333.333.300;25.333.333.333.333.300;0.0
09/05/2020;29.0;27.5;28.166.666.666.666.600;0.4
10/05/2020;28.333.333.333.333.300;25.666.666.666.666.600;26.722.222.222.222.200;1.0
11/05/2020;29.25;26.5;278.125;0.0
12/05/2020;29.2;25.6;27.04;1.0
13/05/2020;25.25;24.75;25.0;14.0
14/05/2020;27.4;24.6;25.883.333.333.333.300;4.2
15/05/2020;27.6;25.8;26.5;6.4
16/05/2020;28.25;25.25;26.75;0.8
17/05/2020;26.75;25.25;25.958.333.333.333.300;1.0
18/05/2020;27.75;23.75;25.520.833.333.333.300;1.0
19/05/2020;28.75;26.0;27.375;0.4
20/05/2020;28.4;24.4;26.333.333.333.333.300;0.8
21/05/2020;27.25;26.0;26.625;13.6
22/05/2020;27.5;24.75;26.125;0.6
23/05/2020;25.5;23.75;24.520.833.333.333.300;22.0
24/05/2020;28.5;25.25;27.05;0.6
25/05/2020;28.0;24.666.666.666.666.600;25.833.333.333.333.300;1.0
26/05/2020;29.0;27.0;27.833.333.333.333.300;1.2
27/05/2020;28.0;25.5;26.5;0.8
28/05/2020;28.333.333.333.333.300;25.666.666.666.666.600;26.777.777.777.777.700;1.6
29/05/2020;27.0;24.666.666.666.666.600;2.561.111.111.111.110;5.6
30/05/2020;30.0;23.0;26.333.333.333.333.300;0.0
31/05/2020;27.333.333.333.333.300;24.0;25.222.222.222.222.200;6.4
01/06/2020;28.5;27.75;28.125;0.0
02/06/2020;27.666.666.666.666.600;26.333.333.333.333.300;27.222.222.222.222.200;6.6
03/06/2020;27.666.666.666.666.600;26.0;26.833.333.333.333.300;0.2
04/06/2020;27.5;25.0;26.104.166.666.666.600;0.2
05/06/2020;25.5;23.5;24.333.333.333.333.300;0.6
06/06/2020;30.5;28.5;29.5;2.6
07/06/2020;27.0;23.5;24.979.166.666.666.600;0.8
08/06/2020;26.75;23.25;2.434.583.333.333.330;0.2
09/06/2020;27.25;24.5;25.895.833.333.333.300;7.8
10/06/2020;26.666.666.666.666.600;23.666.666.666.666.600;24.900.000.000.000.000;1.0
11/06/2020;25.5;24.0;24.75;2.6
12/06/2020;26.75;24.0;25.416.666.666.666.600;0.0
13/06/2020;27.75;24.0;25.458.333.333.333.300;7.8
14/06/2020;27.5;26.0;26.833.333.333.333.300;3.2
15/06/2020;27.5;24.25;25.708.333.333.333.300;1.4
16/06/2020;23.666.666.666.666.600;22.666.666.666.666.600;23.166.666.666.666.600;6.4
17/06/2020;25.0;23.5;24.25;0.4
18/06/2020;24.5;24.5;24.5;0.0
19/06/2020;26.666.666.666.666.600;23.0;24.599.999.999.999.900;0.0
20/06/2020;27.333.333.333.333.300;24.666.666.666.666.600;25.666.666.666.666.600;1.8
21/06/2020;28.0;26.0;27.0;0.0
22/06/2020;27.75;26.5;26.916.666.666.666.600;4.8
23/06/2020;27.0;24.25;25.520.833.333.333.300;0.6
24/06/2020;25.0;23.0;23.925;1.6
25/06/2020;27.0;23.666.666.666.666.600;25.333.333.333.333.300;0.4
26/06/2020;25.0;23.25;24.083.333.333.333.300;5.0
27/06/2020;23.5;23.0;23.166.666.666.666.600;4.6
28/06/2020;24.75;24.0;24.333.333.333.333.300;2.2
29/06/2020;23.0;23.0;23.0;3.6
30/06/2020;25.25;23.5;24.375;1.6
01/07/2020;28.75;24.25;2.625.357.142.857.140;1.8
02/07/2020;26.6;23.8;24.983.333.333.333.300;0.8
03/07/2020;24.2;23.0;23.5;5.8
04/07/2020;26.6;23.6;25.119.999.999.999.900;2.2
05/07/2020;26.5;24.25;25.2;0.0
06/07/2020;26.5;23.25;2.459.166.666.666.660;1.6
07/07/2020;26.75;23.0;24.833.333.333.333.300;8.6
08/07/2020;25.0;23.0;24.0;3.0
09/07/2020;25.333.333.333.333.300;24.666.666.666.666.600;2.488.888.888.888.880;0.2
10/07/2020;27.666.666.666.666.600;23.333.333.333.333.300;2.503.888.888.888.880;0.2
11/07/2020;25.333.333.333.333.300;23.666.666.666.666.600;2.438.888.888.888.880;0.0
12/07/2020;26.5;23.5;249.375;0.0
13/07/2020;28.666.666.666.666.600;24.666.666.666.666.600;26.444.444.444.444.400;1.8
14/07/2020;25.75;23.75;24.708.333.333.333.300;0.0
15/07/2020;26.333.333.333.333.300;23.333.333.333.333.300;24.666.666.666.666.600;1.0
16/07/2020;27.0;23.666.666.666.666.600;2.511.111.111.111.110;1.6
17/07/2020;24.75;24.5;24.625;2.8
18/07/2020;27.0;23.0;25.291.666.666.666.600;5.8
19/07/2020;26.75;25.0;25.75;0.6
20/07/2020;25.75;23.25;24.5;0.6
21/07/2020;25.5;23.5;24.5;2.0
22/07/2020;24.25;23.25;23.666.666.666.666.600;4.2
23/07/2020;27.0;25.0;26.083.333.333.333.300;1.6
