date,Smax
2021-01-01,0.038154
2021-01-02,0.129773
2021-01-03,0.131459
2021-01-04,0.227043
2021-01-05,0.227316
2021-01-06,0.231135
2021-01-07,0.241209
2021-01-08,0.241209
2021-01-09,0.201762
2021-01-10,0.161023
2021-01-11,0.204434
2021-01-12,0.240507
2021-01-13,0.238369
2021-01-14,0.241131
2021-01-15,0.23345
2021-01-16,0.19331
2021-01-17,0.15554
2021-01-18,0.229596
2021-01-19,0.229596
2021-01-20,0.221161
2021-01-21,0.242504
2021-01-22,0.228171
2021-01-23,0.189611
2021-01-24,0.153008
2021-01-25,0.203125
2021-01-26,0.25125
2021-01-27,0.25125
2021-01-28,0.243899
2021-01-29,0.284494
2021-01-30,0.241894
2021-01-31,0.202986
2021-02-01,0.260162
2021-02-02,0.252501
2021-02-03,0.280346
2021-02-04,0.282051
2021-02-05,0.282051
2021-02-06,0.249219
2021-02-07,0.249219
2021-02-08,0.295562
2021-02-09,0.331598
2021-02-10,0.337499
2021-02-11,0.329142
2021-02-12,0.271539
2021-02-13,0.245831
2021-02-14,0.183593
2021-02-15,0.232951
2021-02-16,0.235761
2021-02-17,0.243613
2021-02-18,0.280973
2021-02-19,0.275652
2021-02-20,0.284487
2021-02-21,0.238901
2021-02-22,0.272534
2021-02-23,0.288986
2021-02-24,0.314862
2021-02-25,0.27027
2021-02-26,0.253233
2021-02-27,0.112379
2021-02-28,0.063877
2021-03-01,0.115174
2021-03-02,0.169814
2021-03-03,0.207748
2021-03-04,0.199681
2021-03-05,0.201047
2021-03-06,0.201047
2021-03-07,0.209445
2021-03-08,0.310127
2021-03-09,0.27012
2021-03-10,0.252441
2021-03-11,0.261543
2021-03-12,0.179083
2021-03-13,
2021-03-14,0.18546
2021-03-15,0.243741
2021-03-16,0.217017
2021-03-17,0.246786
2021-03-18,0.20595
2021-03-19,0.173777
2021-03-20,0.140968
2021-03-21,0.191905
2021-03-22,0.242701
2021-03-23,0.24135
2021-03-24,0.210006
2021-03-25,0.214382
2021-03-26,0.189705
2021-03-27,0.178268
2021-03-28,0.178268
2021-03-29,0.230754
2021-03-30,0.195051
2021-03-31,0.241202
2021-04-01,0.206489
2021-04-02,0.208863
2021-04-03,0.208863
2021-04-04,0.162483
2021-04-05,0.252804
2021-04-06,0.226305
2021-04-07,0.274649
2021-04-08,0.235555
2021-04-09,
2021-04-10,0.087452
2021-04-11,0.073586
2021-04-12,0.211128
2021-04-13,0.256566
2021-04-14,0.261375
2021-04-15,0.219875
2021-04-16,0.186349
2021-04-17,0.180905
2021-04-18,0.120711
2021-04-19,0.246791
2021-04-20,0.254505
2021-04-21,0.257455
2021-04-22,0.300341
2021-04-23,0.272065
2021-04-24,0.266462
2021-04-25,0.205675
2021-04-26,0.25837
2021-04-27,0.301934
2021-04-28,0.264939
2021-04-29,0.231812
2021-04-30,0.265726
2021-05-01,0.157715
2021-05-02,0.115981
2021-05-03,0.231766
2021-05-04,0.140478
2021-05-05,0.224886
2021-05-06,0.214339
2021-05-07,0.233513
2021-05-08,0.17734
2021-05-09,0.11805
2021-05-10,0.209134
2021-05-11,0.222903
2021-05-12,0.237541
2021-05-13,0.135015
2021-05-14,0.079016
2021-05-15,0.138166
2021-05-16,0.119325
2021-05-17,0.164873
2021-05-18,
2021-05-19,0.17724
2021-05-20,0.248151
2021-05-21,0.219591
2021-05-22,0.175869
2021-05-23,0.2139
2021-05-24,0.231328
2021-05-25,0.254069
2021-05-26,0.226651
2021-05-27,0.207833
2021-05-28,0.159224
2021-05-29,0.225573
2021-05-30,0.140468
2021-05-31,0.196763
2021-06-01,0.191935
2021-06-02,0.231812
2021-06-03,0.204476
2021-06-04,0.166145
2021-06-05,0.168587
2021-06-06,0.118242
2021-06-07,0.199181
2021-06-08,0.198576
2021-06-09,0.162361
2021-06-10,0.179939
2021-06-11,0.142376
2021-06-12,0.130326
2021-06-13,0.143522
2021-06-14,0.203141
2021-06-15,0.139401
2021-06-16,0.189812
2021-06-17,0.237732
2021-06-18,0.108385
2021-06-19,0.100453
2021-06-20,0.115706
2021-06-21,0.153794
2021-06-22,0.179579
2021-06-23,0.182201
2021-06-24,0.094276
2021-06-25,0.119207
2021-06-26,0.081245
2021-06-27,0.072661
2021-06-28,0.086686
2021-06-29,0.110717
2021-06-30,0.120726
2021-07-01,0.167299
2021-07-02,0.146502
2021-07-03,0.116696
2021-07-04,0.079016
2021-07-05,0.088162
2021-07-06,0.131344
2021-07-07,0.14062
2021-07-08,0.15665
2021-07-09,0.168857
2021-07-10,0.161677
2021-07-11,0.036898
2021-07-12,0.130371
2021-07-13,0.117981
2021-07-14,0.126354
2021-07-15,0.130199
2021-07-16,0.094743
2021-07-17,0.054483
2021-07-18,0.051734
2021-07-19,0.095614
2021-07-20,0.130396
2021-07-21,0.089293
2021-07-22,0.073465
2021-07-23,0.076209
2021-07-24,0.123829
2021-07-25,0.059001
2021-07-26,0.121687
2021-07-27,0.148087
2021-07-28,0.149049
2021-07-29,0.127993
2021-07-30,0.092768
2021-07-31,0.08982
2021-08-01,0.03252
2021-08-02,0.0
2021-08-03,0.087525
2021-08-04,0.081349
2021-08-05,0.050782
2021-08-06,0.093003
2021-08-07,0.058854
2021-08-08,0.04941
2021-08-09,0.125242
2021-08-10,0.086567
2021-08-11,0.103304
2021-08-12,0.109447
2021-08-13,0.100277
2021-08-14,0.107517
2021-08-15,0.032811
2021-08-16,0.082466
2021-08-17,0.091574
2021-08-18,0.122067
2021-08-19,0.103721
2021-08-20,0.11235
2021-08-21,0.139659
2021-08-22,0.064304
2021-08-23,0.157622
2021-08-24,0.138124
2021-08-25,0.110566
2021-08-26,0.156642
2021-08-27,0.141168
2021-08-28,0.144221
2021-08-29,0.078724
2021-08-30,0.166027
2021-08-31,0.151009
2021-09-01,0.138339
2021-09-02,0.138124
2021-09-03,0.188131
2021-09-04,0.136379
2021-09-05,0.139495
2021-09-06,0.145035
2021-09-07,0.145758
2021-09-08,0.178154
2021-09-09,0.194695
2021-09-10,0.169831
2021-09-11,0.169329
2021-09-12,0.138557
2021-09-13,0.195177
2021-09-14,0.203526
2021-09-15,0.214284
2021-09-16,0.212652
2021-09-17,0.210475
2021-09-18,0.131071
2021-09-19,0.140568
2021-09-20,0.152529
2021-09-21,0.252632
2021-09-22,0.251988
2021-09-23,0.272294
2021-09-24,0.218725
2021-09-25,0.213404
2021-09-26,0.165583
2021-09-27,0.199728
2021-09-28,0.198803
2021-09-29,0.234826
2021-09-30,0.25528
2021-10-01,0.274578
2021-10-02,0.222292
2021-10-03,0.220828
2021-10-04,0.271164
2021-10-05,0.27865
2021-10-06,0.257185
2021-10-07,0.292351
2021-10-08,0.249941
2021-10-09,0.203313
2021-10-10,0.165781
2021-10-11,0.261218
2021-10-12,0.235678
2021-10-13,0.286006
2021-10-14,0.246553
2021-10-15,0.221767
2021-10-16,0.229095
2021-10-17,0.181972
2021-10-18,0.303504
2021-10-19,0.307386
2021-10-20,0.328883
2021-10-21,0.31909
2021-10-22,0.303491
2021-10-23,0.286694
2021-10-24,0.242985
2021-10-25,0.357461
2021-10-26,0.268572
2021-10-27,0.270369
2021-10-28,0.297328
2021-10-29,0.247322
2021-10-30,0.209346
2021-10-31,0.198357
2021-11-01,0.236553
2021-11-02,0.244087
2021-11-03,0.347954
2021-11-04,0.366515
2021-11-05,0.317485
2021-11-06,0.591206
2021-11-07,0.26565
2021-11-08,0.302227
2021-11-09,0.353958
2021-11-10,0.329954
2021-11-11,0.372171
2021-11-12,0.325088
2021-11-13,0.284517
2021-11-14,0.234157
2021-11-15,0.23443
2021-11-16,0.350398
2021-11-17,0.341491
2021-11-18,0.358126
2021-11-19,0.317651
2021-11-20,0.282713
2021-11-21,0.296487
2021-11-22,0.348823
2021-11-23,0.341545
2021-11-24,0.418606
2021-11-25,0.3881
2021-11-26,0.379512
2021-11-27,0.367985
2021-11-28,0.311914
2021-11-29,0.358545
2021-11-30,0.39135
2021-12-01,0.39135
2021-12-02,0.397136
2021-12-03,0.396595
2021-12-04,0.369262
2021-12-05,0.33669
2021-12-06,0.391949
2021-12-07,0.401168
2021-12-08,0.350721
2021-12-09,0.397359
2021-12-10,0.377371
2021-12-11,0.330439
2021-12-12,0.346735
2021-12-13,0.365562
2021-12-14,0.390534
2021-12-15,0.404176
2021-12-16,0.415075
2021-12-17,0.407379
2021-12-18,0.398089
2021-12-19,0.315674
2021-12-20,0.400912
2021-12-21,0.363098
2021-12-22,0.363098
2021-12-23,0.339066
2021-12-24,0.381869
2021-12-25,0.173165
2021-12-26,0.343931
2021-12-27,0.316597
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,0.1664
2022-01-01,0.15653
2022-01-02,0.278948
2022-01-03,0.270935
2022-01-04,0.359521
2022-01-05,0.360333
2022-01-06,0.31058
2022-01-07,0.311634
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,0.326553
2022-01-13,0.402429
2022-01-14,0.361304
2022-01-15,0.24571
2022-01-16,0.243747
2022-01-17,0.300757
2022-01-18,0.353348
2022-01-19,0.36098
2022-01-20,0.374141
2022-01-21,0.374141
2022-01-22,0.351589
2022-01-23,0.302084
2022-01-24,0.348579
2022-01-25,0.388119
2022-01-26,0.388119
2022-01-27,0.361667
2022-01-28,0.281102
2022-01-29,0.238071
2022-01-30,0.292784
2022-01-31,0.351818
2022-02-01,0.351818
2022-02-02,0.405323
2022-02-03,0.38744
2022-02-04,0.353093
2022-02-05,0.353093
2022-02-06,0.318816
2022-02-07,0.371377
2022-02-08,0.399842
2022-02-09,0.419629
2022-02-10,0.395728
2022-02-11,0.446771
2022-02-12,0.396353
2022-02-13,0.393565
2022-02-14,0.459797
2022-02-15,0.486937
2022-02-16,0.458593
2022-02-17,0.449272
2022-02-18,0.411467
2022-02-19,0.402557
2022-02-20,0.363931
2022-02-21,0.467739
2022-02-22,0.469443
2022-02-23,0.418802
2022-02-24,0.463681
2022-02-25,0.437569
2022-02-26,0.345707
2022-02-27,0.302027
2022-02-28,0.372276
2022-03-01,0.38794
2022-03-02,0.45079
2022-03-03,0.557743
2022-03-04,0.465491
2022-03-05,0.37592
2022-03-06,0.268459
2022-03-07,0.42453
2022-03-08,0.405678
2022-03-09,0.498909
2022-03-10,0.448955
2022-03-11,0.403047
2022-03-12,0.386428
2022-03-13,0.379198
2022-03-14,0.41188
2022-03-15,0.482704
2022-03-16,0.462887
2022-03-17,0.490635
2022-03-18,0.421755
2022-03-19,0.377425
2022-03-20,0.377391
2022-03-21,0.450844
2022-03-22,0.381281
2022-03-23,0.467739
2022-03-24,0.382137
2022-03-25,0.451965
2022-03-26,0.300854
2022-03-27,0.312999
2022-03-28,0.448217
2022-03-29,0.480835
2022-03-30,0.466184
2022-03-31,0.466844
2022-04-01,0.44108
2022-04-02,0.373787
2022-04-03,0.324621
2022-04-04,0.394144
2022-04-05,0.395195
2022-04-06,0.372024
2022-04-07,0.466866
2022-04-08,0.421164
2022-04-09,0.378728
2022-04-10,0.32213
2022-04-11,0.393522
2022-04-12,0.441163
2022-04-13,0.419229
2022-04-14,0.417397
2022-04-15,0.336261
2022-04-16,0.360179
2022-04-17,0.357529
2022-04-18,0.461624
2022-04-19,0.423304
2022-04-20,0.417885
2022-04-21,0.316886
2022-04-22,0.424676
2022-04-23,0.277505
2022-04-24,0.265042
