date,Smax
2021-01-01,0.248897
2021-01-02,0.445216
2021-01-03,0.307246
2021-01-04,0.760677
2021-01-05,0.735665
2021-01-06,0.761768
2021-01-07,0.774266
2021-01-08,0.807742
2021-01-09,0.569369
2021-01-10,0.313549
2021-01-11,0.748168
2021-01-12,0.768016
2021-01-13,0.768016
2021-01-14,0.78163
2021-01-15,0.755521
2021-01-16,0.523794
2021-01-17,0.305962
2021-01-18,0.739182
2021-01-19,0.793024
2021-01-20,0.793024
2021-01-21,0.495328
2021-01-22,0.811795
2021-01-23,0.54904
2021-01-24,0.313549
2021-01-25,0.787874
2021-01-26,0.805536
2021-01-27,0.802679
2021-01-28,0.76532
2021-01-29,0.77281
2021-01-30,0.553094
2021-01-31,0.293316
2021-02-01,0.761768
2021-02-02,0.816351
2021-02-03,0.77032
2021-02-04,0.955852
2021-02-05,1.0
2021-02-06,0.681438
2021-02-07,0.330458
2021-02-08,0.865073
2021-02-09,0.878695
2021-02-10,0.892334
2021-02-11,0.866214
2021-02-12,0.84127
2021-02-13,0.521619
2021-02-14,0.301759
2021-02-15,0.613497
2021-02-16,0.613497
2021-02-17,0.745134
2021-02-18,0.844139
2021-02-19,0.859976
2021-02-20,0.612819
2021-02-21,0.326158
2021-02-22,0.88107
2021-02-23,0.893526
2021-02-24,0.863974
2021-02-25,0.824314
2021-02-26,0.617962
2021-02-27,0.450622
2021-02-28,0.295473
2021-03-01,0.705629
2021-03-02,0.763968
2021-03-03,0.778431
2021-03-04,0.779451
2021-03-05,0.779451
2021-03-06,0.560518
2021-03-07,0.324936
2021-03-08,0.830576
2021-03-09,0.832721
2021-03-10,0.852583
2021-03-11,0.826474
2021-03-12,0.786935
2021-03-13,
2021-03-14,0.0
2021-03-15,0.297452
2021-03-16,0.798236
2021-03-17,0.773192
2021-03-18,0.691371
2021-03-19,0.76491
2021-03-20,0.277616
2021-03-21,0.270353
2021-03-22,0.784699
2021-03-23,0.779451
2021-03-24,0.757689
2021-03-25,0.724487
2021-03-26,0.845196
2021-03-27,0.319388
2021-03-28,0.282165
2021-03-29,0.430218
2021-03-30,0.422793
2021-03-31,0.436023
2021-04-01,0.449693
2021-04-02,0.299421
2021-04-03,0.331814
2021-04-04,0.267499
2021-04-05,0.818054
2021-04-06,0.77653
2021-04-07,0.811795
2021-04-08,0.79928
2021-04-09,0.247504
2021-04-10,0.533085
2021-04-11,0.244186
2021-04-12,0.27371
2021-04-13,0.784699
2021-04-14,0.777457
2021-04-15,0.670965
2021-04-16,0.745134
2021-04-17,0.514908
2021-04-18,0.272477
2021-04-19,0.757689
2021-04-20,0.785712
2021-04-21,0.671698
2021-04-22,0.79928
2021-04-23,0.818054
2021-04-24,0.534286
2021-04-25,0.308951
2021-04-26,0.818054
2021-04-27,0.286147
2021-04-28,0.76491
2021-04-29,0.783732
2021-04-30,0.711063
2021-05-01,0.393511
2021-05-02,0.295473
2021-05-03,0.751411
2021-05-04,0.676597
2021-05-05,0.717356
2021-05-06,0.717356
2021-05-07,0.743353
2021-05-08,0.541049
2021-05-09,0.284957
2021-05-10,0.7182
2021-05-11,0.76491
2021-05-12,0.730775
2021-05-13,0.598026
2021-05-14,0.565609
2021-05-15,0.476116
2021-05-16,0.282908
2021-05-17,0.729944
2021-05-18,0.249605
2021-05-19,0.258053
2021-05-20,0.716563
2021-05-21,0.742536
2021-05-22,0.508571
2021-05-23,0.308046
2021-05-24,0.76491
2021-05-25,0.737064
2021-05-26,0.755935
2021-05-27,0.730775
2021-05-28,0.730775
2021-05-29,0.501671
2021-05-30,0.291203
2021-05-31,0.719094
2021-06-01,0.267499
2021-06-02,0.730775
2021-06-03,0.631157
2021-06-04,0.711914
2021-06-05,0.261293
2021-06-06,0.241416
2021-06-07,0.711914
2021-06-08,0.724487
2021-06-09,0.697668
2021-06-10,0.7182
2021-06-11,0.710264
2021-06-12,0.296409
2021-06-13,0.255092
2021-06-14,0.750504
2021-06-15,0.623793
2021-06-16,0.73624
2021-06-17,0.76491
2021-06-18,0.652047
2021-06-19,0.45693
2021-06-20,0.272477
2021-06-21,0.7182
2021-06-22,0.717356
2021-06-23,0.579031
2021-06-24,0.546954
2021-06-25,0.612819
2021-06-26,0.45693
2021-06-27,0.271357
2021-06-28,0.658352
2021-06-29,0.665398
2021-06-30,0.637478
2021-07-01,0.673326
2021-07-02,0.67878
2021-07-03,0.444277
2021-07-04,0.267499
2021-07-05,0.644391
2021-07-06,0.684301
2021-07-07,0.69219
2021-07-08,0.644391
2021-07-09,0.805168
2021-07-10,0.495328
2021-07-11,0.278715
2021-07-12,0.671698
2021-07-13,0.665398
2021-07-14,0.665398
2021-07-15,0.652047
2021-07-16,0.67878
2021-07-17,0.444237
2021-07-18,0.278715
2021-07-19,0.63176
2021-07-20,0.664658
2021-07-21,0.612819
2021-07-22,0.579496
2021-07-23,0.599562
2021-07-24,0.437891
2021-07-25,0.261293
2021-07-26,0.65135
2021-07-27,0.666192
2021-07-28,0.690603
2021-07-29,0.677272
2021-07-30,0.670965
2021-07-31,0.469622
2021-08-01,0.267499
2021-08-02,0.624837
2021-08-03,0.626112
2021-08-04,0.5727
2021-08-05,0.406329
2021-08-06,0.585363
2021-08-07,0.45693
2021-08-08,0.267499
2021-08-09,0.663341
2021-08-10,0.559623
2021-08-11,0.625446
2021-08-12,0.611638
2021-08-13,0.565609
2021-08-14,0.450622
2021-08-15,0.270353
