date,Smax
2021-01-01,0.140118
2021-01-02,0.269484
2021-01-03,0.297315
2021-01-04,0.631702
2021-01-05,0.628934
2021-01-06,0.611051
2021-01-07,0.657274
2021-01-08,0.629302
2021-01-09,0.294533
2021-01-10,0.250651
2021-01-11,0.593579
2021-01-12,0.670687
2021-01-13,0.658026
2021-01-14,0.642032
2021-01-15,0.642032
2021-01-16,0.378691
2021-01-17,0.272412
2021-01-18,0.603222
2021-01-19,0.646967
2021-01-20,0.649989
2021-01-21,0.68338
2021-01-22,0.626955
2021-01-23,0.331644
2021-01-24,0.236812
2021-01-25,0.591305
2021-01-26,0.691397
2021-01-27,0.68338
2021-01-28,0.673039
2021-01-29,0.685772
2021-01-30,0.340754
2021-01-31,0.331146
2021-02-01,0.697443
2021-02-02,0.693724
2021-02-03,0.73746
2021-02-04,0.708858
2021-02-05,0.693724
2021-02-06,0.372896
2021-02-07,0.332806
2021-02-08,0.745484
2021-02-09,0.773253
2021-02-10,0.781196
2021-02-11,0.773253
2021-02-12,0.727117
2021-02-13,0.304724
2021-02-14,0.266619
2021-02-15,0.392341
2021-02-16,0.367537
2021-02-17,0.706439
2021-02-18,0.696104
2021-02-19,0.729512
2021-02-20,0.412873
2021-02-21,0.379725
2021-02-22,0.708858
2021-02-23,0.770854
2021-02-24,0.831637
2021-02-25,0.716776
2021-02-26,0.339697
2021-02-27,0.081565
2021-02-28,0.137456
2021-03-01,0.513244
2021-03-02,0.594528
2021-03-03,0.599468
2021-03-04,0.624662
2021-03-05,0.580937
2021-03-06,0.311461
2021-03-07,0.309846
2021-03-08,0.691095
2021-03-09,0.716776
2021-03-10,0.724772
2021-03-11,0.739844
2021-03-12,0.665116
2021-03-13,
2021-03-14,0.386571
2021-03-15,0.301345
2021-03-16,0.639644
2021-03-17,0.598292
2021-03-18,0.412112
2021-03-19,0.549849
2021-03-20,0.222888
2021-03-21,0.266101
2021-03-22,0.570193
2021-03-23,0.648422
2021-03-24,0.588653
2021-03-25,0.540646
2021-03-26,0.533536
2021-03-27,0.207085
2021-03-28,0.240573
2021-03-29,0.261326
2021-03-30,0.315121
2021-03-31,0.351853
2021-04-01,0.297315
2021-04-02,0.224946
2021-04-03,0.240573
2021-04-04,0.232655
2021-04-05,0.654458
2021-04-06,0.665116
2021-04-07,0.668389
2021-04-08,0.635029
2021-04-09,0.165188
2021-04-10,0.208232
2021-04-11,0.028769
2021-04-12,0.292528
2021-04-13,0.622424
2021-04-14,0.658026
2021-04-15,0.456307
2021-04-16,0.51729
2021-04-17,0.225761
2021-04-18,0.119605
2021-04-19,0.534723
2021-04-20,0.631081
2021-04-21,0.516482
2021-04-22,0.706439
2021-04-23,0.691397
2021-04-24,0.271448
2021-04-25,0.322718
2021-04-26,0.651415
2021-04-27,0.583223
2021-04-28,0.57287
2021-04-29,0.576531
2021-04-30,0.460139
2021-05-01,0.274063
2021-05-02,0.194124
2021-05-03,0.503106
2021-05-04,0.359843
2021-05-05,0.499997
2021-05-06,0.491001
2021-05-07,0.546786
2021-05-08,0.261326
2021-05-09,0.1736
2021-05-10,0.492973
2021-05-11,0.529138
2021-05-12,0.567075
2021-05-13,0.291439
2021-05-14,0.179304
2021-05-15,0.191085
2021-05-16,0.138319
2021-05-17,0.499997
2021-05-18,0.114094
2021-05-19,0.208805
2021-05-20,0.547847
2021-05-21,0.537212
2021-05-22,0.25107
2021-05-23,0.281611
2021-05-24,0.580097
2021-05-25,0.591305
2021-05-26,0.601675
2021-05-27,0.57287
2021-05-28,0.539492
2021-05-29,0.235334
2021-05-30,0.1917
2021-05-31,0.41642
2021-06-01,0.252429
2021-06-02,0.501658
2021-06-03,0.456307
2021-06-04,0.470515
2021-06-05,0.189381
2021-06-06,0.150381
2021-06-07,0.413
2021-06-08,0.490151
2021-06-09,0.418664
2021-06-10,0.512764
2021-06-11,0.424626
2021-06-12,0.17184
2021-06-13,0.176345
2021-06-14,0.539492
2021-06-15,0.351853
2021-06-16,0.483761
2021-06-17,0.560209
2021-06-18,0.346197
2021-06-19,0.125213
2021-06-20,0.129293
2021-06-21,0.516841
2021-06-22,0.510151
2021-06-23,0.415439
2021-06-24,0.210416
2021-06-25,0.288613
2021-06-26,0.103724
2021-06-27,0.027558
2021-06-28,0.315121
2021-06-29,0.343857
2021-06-30,0.318606
2021-07-01,0.489209
2021-07-02,0.463748
2021-07-03,0.141278
2021-07-04,0.068412
2021-07-05,0.314786
2021-07-06,0.469532
2021-07-07,0.405631
2021-07-08,0.422231
2021-07-09,0.491517
2021-07-10,0.270518
2021-07-11,0.166108
2021-07-12,0.467842
2021-07-13,0.376783
2021-07-14,0.386173
2021-07-15,0.418949
2021-07-16,0.476186
2021-07-17,0.150381
2021-07-18,0.132609
2021-07-19,0.359288
2021-07-20,0.466458
2021-07-21,0.278459
2021-07-22,0.298772
2021-07-23,0.287999
2021-07-24,0.215666
2021-07-25,0.093248
2021-07-26,0.440083
2021-07-27,0.529108
2021-07-28,0.55229
2021-07-29,0.532556
2021-07-30,0.449766
2021-07-31,0.240994
2021-08-01,0.097301
2021-08-02,0.329916
2021-08-03,0.387042
2021-08-04,0.260667
2021-08-05,0.160207
2021-08-06,0.392758
2021-08-07,0.178099
2021-08-08,0.1251
2021-08-09,0.449891
2021-08-10,0.239344
2021-08-11,0.382952
2021-08-12,0.382952
2021-08-13,0.392758
2021-08-14,0.207515
2021-08-15,0.069591
2021-08-16,0.375942
2021-08-17,0.389934
2021-08-18,0.379079
2021-08-19,0.412398
2021-08-20,0.367505
2021-08-21,0.217341
2021-08-22,0.166108
2021-08-23,0.477624
2021-08-24,0.491517
2021-08-25,0.554346
2021-08-26,0.489847
2021-08-27,0.50949
2021-08-28,0.243344
2021-08-29,0.15469
2021-08-30,0.515193
2021-08-31,0.585796
2021-09-01,0.481748
2021-09-02,0.489209
2021-09-03,0.516841
2021-09-04,0.317802
2021-09-05,0.238043
2021-09-06,0.562549
2021-09-07,0.276503
2021-09-08,0.593637
2021-09-09,0.493428
2021-09-10,0.505819
2021-09-11,0.258169
2021-09-12,0.191483
2021-09-13,0.607712
2021-09-14,0.650576
2021-09-15,0.627153
2021-09-16,0.541119
2021-09-17,0.603938
2021-09-18,0.307961
2021-09-19,0.233783
2021-09-20,0.334067
2021-09-21,0.66861
2021-09-22,0.655769
2021-09-23,0.818233
2021-09-24,0.560999
2021-09-25,0.34544
2021-09-26,0.282569
2021-09-27,0.501205
2021-09-28,0.629189
2021-09-29,0.587384
2021-09-30,0.661588
2021-10-01,0.605768
2021-10-02,0.374938
2021-10-03,0.337513
2021-10-04,0.664589
2021-10-05,0.710786
2021-10-06,0.73746
2021-10-07,0.778464
2021-10-08,0.667696
2021-10-09,0.396825
2021-10-10,0.333636
2021-10-11,0.60991
2021-10-12,0.383178
2021-10-13,0.749405
2021-10-14,0.698071
2021-10-15,0.678423
2021-10-16,0.412398
2021-10-17,0.339697
2021-10-18,0.73357
2021-10-19,0.765227
2021-10-20,0.781275
2021-10-21,0.809933
2021-10-22,0.812341
2021-10-23,0.479366
2021-10-24,0.400659
2021-10-25,0.788612
2021-10-26,0.79269
2021-10-27,0.786859
2021-10-28,0.788691
2021-10-29,0.654458
2021-10-30,0.378917
2021-10-31,0.331611
2021-11-01,0.639222
2021-11-02,0.453985
2021-11-03,0.901122
2021-11-04,0.822178
2021-11-05,0.85173
2021-11-06,0.447281
2021-11-07,0.440302
2021-11-08,0.828094
2021-11-09,0.843302
2021-11-10,0.808923
2021-11-11,0.899381
2021-11-12,0.725662
2021-11-13,0.461652
2021-11-14,0.403051
2021-11-15,0.42664
2021-11-16,0.866322
2021-11-17,0.812341
2021-11-18,0.786937
2021-11-19,0.805888
2021-11-20,0.437334
2021-11-21,0.409351
2021-11-22,0.797307
2021-11-23,0.818052
2021-11-24,0.864023
2021-11-25,0.855971
2021-11-26,0.853661
2021-11-27,0.439303
2021-11-28,0.425791
2021-11-29,0.8514
2021-11-30,0.89739
2021-12-01,0.853661
2021-12-02,1.0
2021-12-03,0.876675
2021-12-04,0.489665
2021-12-05,0.423334
2021-12-06,0.855971
2021-12-07,0.8514
2021-12-08,0.418317
2021-12-09,0.89739
2021-12-10,0.830662
2021-12-11,0.400276
2021-12-12,0.425791
2021-12-13,0.855971
2021-12-14,0.838807
2021-12-15,0.843302
2021-12-16,0.8514
2021-12-17,0.799572
2021-12-18,0.447871
2021-12-19,0.364314
2021-12-20,0.732845
2021-12-21,0.693724
2021-12-22,0.707662
2021-12-23,0.38524
2021-12-24,0.408779
2021-12-25,0.341052
2021-12-26,0.392309
2021-12-27,0.603938
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,0.346724
2022-01-01,0.410558
2022-01-02,0.42664
2022-01-03,0.717751
2022-01-04,0.697279
2022-01-05,0.728651
2022-01-06,0.737915
2022-01-07,0.721534
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,0.456585
2022-01-13,0.762184
2022-01-14,0.70437
2022-01-15,0.297315
2022-01-16,0.320145
2022-01-17,0.701237
2022-01-18,0.739844
2022-01-19,0.703417
2022-01-20,0.845546
2022-01-21,0.635029
2022-01-22,0.472264
2022-01-23,0.428526
2022-01-24,0.738826
2022-01-25,0.784711
2022-01-26,0.842459
2022-01-27,0.625087
2022-01-28,0.645482
2022-01-29,0.282603
2022-01-30,0.420464
2022-01-31,0.776965
2022-02-01,0.766206
2022-02-02,0.766206
2022-02-03,0.778464
2022-02-04,0.766206
2022-02-05,0.446316
2022-02-06,0.476431
2022-02-07,0.806537
2022-02-08,0.916657
2022-02-09,0.842459
2022-02-10,0.830662
2022-02-11,0.956313
2022-02-12,0.619303
2022-02-13,0.580242
2022-02-14,0.866322
2022-02-15,0.886156
2022-02-16,0.90775
2022-02-17,0.939188
2022-02-18,0.959442
2022-02-19,0.526393
2022-02-20,0.596626
2022-02-21,0.905493
2022-02-22,0.918113
2022-02-23,0.882223
2022-02-24,0.895122
2022-02-25,0.858329
2022-02-26,0.45138
2022-02-27,0.399925
2022-02-28,0.513604
2022-03-01,0.563485
2022-03-02,0.835404
2022-03-03,0.989543
2022-03-04,0.927569
2022-03-05,0.494944
2022-03-06,0.409351
2022-03-07,0.815134
2022-03-08,0.883626
2022-03-09,0.876675
2022-03-10,0.905493
2022-03-11,0.892354
2022-03-12,0.590642
2022-03-13,0.577053
2022-03-14,0.872147
2022-03-15,0.90775
2022-03-16,0.838807
2022-03-17,0.914804
2022-03-18,0.837963
2022-03-19,0.510602
2022-03-20,0.52625
2022-03-21,0.930762
2022-03-22,0.802901
2022-03-23,0.848678
2022-03-24,0.792716
2022-03-25,0.789214
2022-03-26,0.418285
2022-03-27,0.513604
2022-03-28,0.864023
2022-03-29,0.922748
2022-03-30,0.918113
2022-03-31,0.89739
2022-04-01,0.902067
2022-04-02,0.507114
2022-04-03,0.507986
2022-04-04,0.773253
2022-04-05,0.818052
2022-04-06,0.749005
2022-04-07,0.855971
2022-04-08,0.838807
2022-04-09,0.52285
2022-04-10,0.470791
2022-04-11,0.782534
2022-04-12,0.876675
2022-04-13,0.84103
2022-04-14,0.734778
2022-04-15,0.466458
2022-04-16,0.43577
2022-04-17,0.510812
2022-04-18,0.895122
2022-04-19,0.905493
2022-04-20,0.84103
2022-04-21,0.495126
2022-04-22,0.786937
2022-04-23,0.447281
2022-04-24,0.395033
2022-04-25,0.720238
2022-04-26,0.770009
2022-04-27,0.830662
2022-04-28,0.828428
2022-04-29,0.718048
2022-04-30,0.406522
2022-05-01,0.502865
2022-05-02,0.745057
2022-05-03,0.801212
2022-05-04,0.944244
2022-05-05,0.948363
2022-05-06,0.607712
2022-05-07,0.376006
2022-05-08,0.222356
2022-05-09,0.67478
2022-05-10,0.655685
2022-05-11,0.671767
2022-05-12,0.719833
2022-05-13,0.786859
2022-05-14,0.383178
2022-05-15,0.36389
2022-05-16,0.730615
2022-05-17,0.83942
2022-05-18,0.847023
2022-05-19,0.864023
2022-05-20,0.853661
2022-05-21,0.440052
2022-05-22,0.333005
2022-05-23,0.459429
2022-05-24,0.437428
2022-05-25,0.390769
2022-05-26,0.635282
2022-05-27,0.607454
2022-05-28,0.197699
2022-05-29,0.142475
2022-05-30,0.554552
2022-05-31,0.534752
2022-06-01,0.524819
2022-06-02,0.390448
2022-06-03,0.483364
2022-06-04,0.231173
2022-06-05,0.158543
2022-06-06,0.508919
2022-06-07,0.55082
2022-06-08,0.639082
2022-06-09,0.436583
2022-06-10,0.56401
2022-06-11,0.235228
2022-06-12,0.280378
2022-06-13,0.553612
2022-06-14,0.553612
2022-06-15,0.568241
2022-06-16,0.404517
2022-06-17,0.472755
2022-06-18,0.311965
2022-06-19,0.302461
2022-06-20,0.524521
2022-06-21,0.646827
2022-06-22,0.392758
2022-06-23,0.231949
2022-06-24,0.0
2022-06-25,0.086156
2022-06-26,0.150381
2022-06-27,0.463748
2022-06-28,0.467688
2022-06-29,0.35726
2022-06-30,0.423964
2022-07-01,0.467842
2022-07-02,0.21156
2022-07-03,0.034907
2022-07-04,0.279693
2022-07-05,0.467688
2022-07-06,0.568241
2022-07-07,0.36115
2022-07-08,0.406618
2022-07-09,0.231173
2022-07-10,0.122753
2022-07-11,0.467842
2022-07-12,0.493944
2022-07-13,0.558423
2022-07-14,0.527471
2022-07-15,0.477593
2022-07-16,0.240994
2022-07-17,0.079421
2022-07-18,0.363369
2022-07-19,0.463902
2022-07-20,0.491517
2022-07-21,0.377042
2022-07-22,0.349652
2022-07-23,0.242993
2022-07-24,0.139031
2022-07-25,0.412398
2022-07-26,0.457791
2022-07-27,0.450232
2022-07-28,0.521028
2022-07-29,0.544633
2022-07-30,0.263023
2022-07-31,0.166108
2022-08-01,0.453241
2022-08-02,0.421096
2022-08-03,0.428526
2022-08-04,0.43292
2022-08-05,0.16065
2022-08-06,0.266619
2022-08-07,0.179888
2022-08-08,0.412873
2022-08-09,0.531843
2022-08-10,0.601761
2022-08-11,0.594528
2022-08-12,0.599468
2022-08-13,0.288306
2022-08-14,0.201878
2022-08-15,0.508919
2022-08-16,0.639082
2022-08-17,0.542419
2022-08-18,0.568241
2022-08-19,0.542419
2022-08-20,0.274476
2022-08-21,0.242993
2022-08-22,0.440083
2022-08-23,0.288306
2022-08-24,0.863669
2022-08-25,0.489209
2022-08-26,0.406109
2022-08-27,0.233114
2022-08-28,0.21937
2022-08-29,0.444386
2022-08-30,0.48498
2022-08-31,0.390448
2022-09-01,0.450232
2022-09-02,0.460417
2022-09-03,0.307961
2022-09-04,0.156247
2022-09-05,0.377042
2022-09-06,0.369098
2022-09-07,0.172134
2022-09-08,0.462145
2022-09-09,0.472264
2022-09-10,0.253579
2022-09-11,0.18586
2022-09-12,0.467842
2022-09-13,0.542419
2022-09-14,0.558042
2022-09-15,0.559916
2022-09-16,0.553612
2022-09-17,0.294567
2022-09-18,0.252882
2022-09-19,0.355885
2022-09-20,0.581371
2022-09-21,0.674338
2022-09-22,0.674338
2022-09-23,0.68261
2022-09-24,0.356933
2022-09-25,0.351294
2022-09-26,0.568387
2022-09-27,0.659725
2022-09-28,0.605625
2022-09-29,0.68261
2022-09-30,0.607712
2022-10-01,0.369098
2022-10-02,0.251628
2022-10-03,0.557954
2022-10-04,0.603594
2022-10-05,0.672209
2022-10-06,0.749218
2022-10-07,0.76176
2022-10-08,0.409351
2022-10-09,0.397337
2022-10-10,0.726309
2022-10-11,0.740994
2022-10-12,0.307321
2022-10-13,0.697443
2022-10-14,0.672209
2022-10-15,0.354083
2022-10-16,0.271345
2022-10-17,0.624011
2022-10-18,0.767924
2022-10-19,0.730615
2022-10-20,0.705514
2022-10-21,0.688956
2022-10-22,0.367537
2022-10-23,0.35883
2022-10-24,0.763958
2022-10-25,0.71591
2022-10-26,0.736709
2022-10-27,0.795091
2022-10-28,0.730615
2022-10-29,0.320747
2022-10-30,0.299754
2022-10-31,0.661811
2022-11-01,0.726309
2022-11-02,0.343297
2022-11-03,0.826244
2022-11-04,0.770009
2022-11-05,0.414679
2022-11-06,0.428243
2022-11-07,0.828428
2022-11-08,0.819987
2022-11-09,0.815857
2022-11-10,0.872147
2022-11-11,0.803317
2022-11-12,0.406291
2022-11-13,0.410209
2022-11-14,0.701373
2022-11-15,0.407826
2022-11-16,0.790809
2022-11-17,0.778332
2022-11-18,0.713824
2022-11-19,0.412873
2022-11-20,0.428526
2022-11-21,0.724638
2022-11-22,0.661588
2022-11-23,0.720238
2022-11-24,0.632802
2022-11-25,0.838807
2022-11-26,0.487871
2022-11-27,0.465196
2022-11-28,0.681041
2022-11-29,0.792925
2022-11-30,0.782534
2022-12-01,0.826244
2022-12-02,0.614299
2022-12-03,0.465196
2022-12-04,0.392341
2022-12-05,0.680545
2022-12-06,0.822023
2022-12-07,0.803317
2022-12-08,0.407507
2022-12-09,0.612048
2022-12-10,0.472356
2022-12-11,0.453024
2022-12-12,0.847023
2022-12-13,0.878208
2022-12-14,0.915867
2022-12-15,0.903284
2022-12-16,0.864023
2022-12-17,0.400659
2022-12-18,0.374193
2022-12-19,0.795091
2022-12-20,0.786937
2022-12-21,0.76176
2022-12-22,0.759613
2022-12-23,0.678754
2022-12-24,0.409447
2022-12-25,0.309846
2022-12-26,0.641021
2022-12-27,0.703417
2022-12-28,0.658026
2022-12-29,0.697279
2022-12-30,0.647415
2022-12-31,0.433797
2023-01-01,0.382017
2023-01-02,0.527471
2023-01-03,0.626446
2023-01-04,0.707662
2023-01-05,0.690958
2023-01-06,0.651415
2023-01-07,0.390191
2023-01-08,0.392822
2023-01-09,0.803317
2023-01-10,0.757517
2023-01-11,0.757517
2023-01-12,0.805473
2023-01-13,0.772146
2023-01-14,0.425791
2023-01-15,0.382307
2023-01-16,0.680545
2023-01-17,0.782534
2023-01-18,0.601618
2023-01-19,0.595218
2023-01-20,0.63486
2023-01-21,0.419928
2023-01-22,0.512794
2023-01-23,0.864023
2023-01-24,0.813712
2023-01-25,0.778858
2023-01-26,0.826244
2023-01-27,0.864023
2023-01-28,0.517638
2023-01-29,0.515733
2023-01-30,0.847991
2023-01-31,0.913667
2023-02-01,0.913667
2023-02-02,0.93444
2023-02-03,0.905493
2023-02-04,0.529733
2023-02-05,0.554816
2023-02-06,0.678533
2023-02-07,0.745484
2023-02-08,0.8514
2023-02-09,0.924053
2023-02-10,0.884754
2023-02-11,0.479213
2023-02-12,0.585189
2023-02-13,0.890731
2023-02-14,0.936619
2023-02-15,0.946999
2023-02-16,0.969961
2023-02-17,0.861772
2023-02-18,0.427269
2023-02-19,0.437772
2023-02-20,0.419928
2023-02-21,0.48129
2023-02-22,0.786937
2023-02-23,0.903284
2023-02-24,0.935469
2023-02-25,0.535316
2023-02-26,0.568358
2023-02-27,0.915867
2023-02-28,0.918113
2023-03-01,1.028579
2023-03-02,0.876122
2023-03-03,0.972204
2023-03-04,0.57162
2023-03-05,0.629838
2023-03-06,1.001096
2023-03-07,1.024056
2023-03-08,0.965614
2023-03-09,0.980337
2023-03-10,0.861772
2023-03-11,0.547376
2023-03-12,0.636155
2023-03-13,1.08499
2023-03-14,0.969961
2023-03-15,0.905493
2023-03-16,0.690958
2023-03-17,0.690958
2023-03-18,0.428809
2023-03-19,0.340754
2023-03-20,0.767924
2023-03-21,0.645286
2023-03-22,0.556048
2023-03-23,0.757517
2023-03-24,0.738826
2023-03-25,0.49179
2023-03-26,0.470791
2023-03-27,0.844908
2023-03-28,0.913667
2023-03-29,0.770009
2023-03-30,0.743053
2023-03-31,0.770009
2023-04-01,0.448275
2023-04-02,0.523298
2023-04-03,0.899008
2023-04-04,0.844908
2023-04-05,0.847023
2023-04-06,0.672209
2023-04-07,0.428809
2023-04-08,0.404772
2023-04-09,0.533892
2023-04-10,0.778332
2023-04-11,0.907825
2023-04-12,0.822023
2023-04-13,0.855971
2023-04-14,0.586922
2023-04-15,0.473981
2023-04-16,0.403338
2023-04-17,0.767924
2023-04-18,0.951478
2023-04-19,0.97815
2023-04-20,1.026295
2023-04-21,0.542862
2023-04-22,0.559477
2023-04-23,0.599841
2023-04-24,0.890731
